Customer ID,Gender,State,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
Cust0268,Male,Uttar Pradesh,North,49,Monitor,Electronics,300.0,5,1500.0,13.31,Returned,2023-12-08
Cust0046,Male,Maharashtra,West,22,Earbuds,Accessories,100.0,2,200.0,6.93,In Transit,2023-04-09
Cust0169,Female,Bihar,South,54,Monitor,Electronics,300.0,1,300.0,11.31,Returned,2023-08-28
Cust0002,Male,West Bengal,North,23,Earbuds,Accessories,100.0,5,500.0,12.22,Delivered,2023-01-18
Cust0147,Male,Tamil Nadu,North,64,Watch,Wearables,200.0,2,400.0,11.26,In Transit,2023-01-11
Cust0262,Male,Rajasthan,East,27,Watch,Wearables,200.0,1,200.0,18.38,In Transit,2023-10-23
Cust0159,Female,Karnataka,South,18,Keyboard,Accessories,50.0,2,100.0,15.08,Returned,2023-06-15
Cust0046,Female,Gujarat,East,22,Mouse,Accessories,30.0,1,30.0,8.22,Returned,2023-02-25
Cust0023,Male,Andhra Pradesh,West,29,Earbuds,Accessories,100.0,3,300.0,10.7,Delivered,2023-04-23
Cust0201,Female,Odisha,East,49,Earbuds,Accessories,100.0,2,200.0,9.8,Returned,2023-06-01
Cust0283,Female,Telangana,West,67,Mouse,Accessories,30.0,3,90.0,5.65,In Transit,2023-09-13
Cust0199,Female,Kerala,West,41,Keyboard,Accessories,50.0,5,250.0,7.13,Delivered,2023-02-17
Cust0039,Male,Jharkhand,South,60,Keyboard,Accessories,50.0,4,200.0,10.91,Returned,2023-12-10
Cust0276,Male,Assam,West,66,Mouse,Accessories,30.0,1,30.0,11.36,In Transit,2023-06-29
Cust0210,Male,Haryana,South,30,Phone,Electronics,800.0,2,1600.0,11.44,Returned,2023-06-09
Cust0293,Female,Delhi,East,32,Watch,Wearables,200.0,5,1000.0,7.16,In Transit,2023-06-21
Cust0049,Female,Jammu & Kashmir,West,59,Monitor,Electronics,300.0,4,1200.0,17.37,In Transit,2023-11-26
Cust0196,Female,Himachal Pradesh,South,37,Mouse,Accessories,30.0,3,90.0,19.41,Returned,2023-12-27
Cust0050,Male,Tripura,North,49,Mouse,Accessories,30.0,3,90.0,6.97,Returned,2023-06-06
Cust0007,Female,Meghalaya,East,52,Earbuds,Accessories,100.0,2,200.0,12.0,In Transit,2023-10-28
Cust0042,Female,Nagaland,South,57,Keyboard,Accessories,50.0,1,50.0,9.6,Delivered,2023-12-04
Cust0264,Male,Goa,East,59,Phone,Electronics,1658.43,2,1600.0,11.59,In Transit,2023-02-01
Cust0053,Female,Arunachal Pradesh,North,25,Watch,Wearables,200.0,1,200.0,14.9,Delivered,2023-08-14
Cust0154,Female,Mizoram,East,31,Phone,Electronics,800.0,1,800.0,19.22,In Transit,2023-12-07
Cust0190,Male,Sikkim,North,28,Keyboard,Accessories,50.0,4,200.0,15.31,Delivered,2023-06-28
Cust0038,Female,Chandigarh,East,57,Monitor,Electronics,300.0,2,600.0,12.38,Returned,2023-11-17
Cust0124,Female,Andaman & Nicobar Islands,South,53,Monitor,Electronics,300.0,2,600.0,18.38,In Transit,2023-09-05
Cust0298,Female,Dadra & Nagar Haveli and Daman & Diu,South,58,Earbuds,Accessories,100.0,5,500.0,7.41,Delivered,2023-09-17
Cust0211,Female,Lakshadweep,South,35,Mouse,Accessories,30.0,3,90.0,11.42,Delivered,2023-12-25
Cust0284,Female,Uttar Pradesh,West,64,Monitor,Electronics,300.0,1,300.0,6.55,Returned,2023-08-01
Cust0282,Male,Maharashtra,North,49,Phone,Electronics,800.0,2,1600.0,9.72,Delivered,2023-02-12
Cust0205,Female,Bihar,South,43,Monitor,Electronics,300.0,2,600.0,18.27,In Transit,2023-05-18
Cust0299,Male,Madhya Pradesh,East,58,Keyboard,Accessories,50.0,2,100.0,9.57,Returned,2023-08-30
Cust0064,Male,Tamil Nadu,West,61,Monitor,Electronics,300.0,1,300.0,13.82,Returned,2023-09-15
Cust0073,Male,Rajasthan,East,19,Keyboard,Accessories,50.0,4,200.0,5.32,Delivered,2023-02-14
Cust0154,Male,Karnataka,North,31,Keyboard,Accessories,50.0,3,150.0,7.46,Delivered,2023-02-27
Cust0081,Male,Gujarat,North,38,Monitor,Electronics,300.0,1,300.0,17.22,Returned,2023-08-13
Cust0247,Male,Andhra Pradesh,East,44,Earbuds,Accessories,100.0,2,200.0,8.15,In Transit,2023-05-09
Cust0178,Male,Telangana,West,44,Watch,Wearables,200.0,3,600.0,18.09,In Transit,2023-10-28
Cust0070,Male,Jharkhand,West,23,Monitor,Electronics,300.0,3,900.0,12.58,Returned,2023-04-16
Cust0122,Male,Assam,West,68,Earbuds,Accessories,100.0,2,200.0,13.49,In Transit,2023-12-13
Cust0168,Female,Punjab,East,42,Monitor,Electronics,300.0,4,1200.0,18.15,In Transit,2023-03-27
Cust0176,Male,Chhattisgarh,South,51,Laptop,Electronics,1500.0,2,3000.0,7.43,Delivered,2023-11-16
Cust0064,Female,Haryana,West,61,Laptop,Electronics,1500.0,2,3000.0,5.42,Returned,2023-06-14
Cust0057,Male,Uttarakhand,North,62,Keyboard,Accessories,50.0,4,200.0,12.79,Delivered,2023-09-29
Cust0207,Male,Himachal Pradesh,South,54,Laptop,Electronics,1500.0,1,1500.0,5.16,Delivered,2023-03-14
Cust0167,Female,Tripura,North,67,Earbuds,Accessories,100.0,2,200.0,11.65,Returned,2023-12-14
Cust0041,Male,Manipur,East,64,Phone,Electronics,800.0,4,3200.0,17.27,In Transit,2023-08-08
Cust0112,Male,Nagaland,North,33,Monitor,Electronics,300.0,4,1200.0,14.88,Delivered,2023-04-12
Cust0244,Female,Goa,West,24,Earbuds,Accessories,100.0,3,300.0,8.49,In Transit,2023-02-21
Cust0218,Male,Arunachal Pradesh,East,36,Earbuds,Accessories,100.0,2,200.0,7.71,Returned,2023-11-03
Cust0073,Male,Mizoram,North,19,Monitor,Electronics,300.0,5,1500.0,13.7,In Transit,2023-01-16
Cust0083,Male,Sikkim,East,28,Monitor,Electronics,300.0,1,300.0,17.98,Returned,2024-01-03
Cust0065,Female,Chandigarh,East,49,Earbuds,Accessories,100.0,2,200.0,13.06,Returned,2023-02-05
Cust0060,Male,Andaman & Nicobar Islands,South,41,Keyboard,Accessories,50.0,4,200.0,19.12,Returned,2023-04-03
Cust0045,Male,Dadra & Nagar Haveli and Daman & Diu,East,21,Mouse,Accessories,30.0,1,30.0,6.17,In Transit,2023-10-23
Cust0296,Female,Lakshadweep,North,50,Keyboard,Accessories,50.0,2,100.0,13.82,In Transit,2023-07-25
Cust0077,Male,Uttar Pradesh,South,50,Keyboard,Accessories,50.0,5,250.0,10.89,Delivered,2023-03-19
Cust0227,Female,Maharashtra,West,54,Keyboard,Accessories,50.0,4,200.0,9.22,Returned,2023-10-05
Cust0284,Female,Bihar,North,64,Keyboard,Accessories,50.0,3,150.0,17.76,In Transit,2023-04-11
Cust0245,Male,West Bengal,North,63,Mouse,Accessories,30.0,1,30.0,13.28,Returned,2023-09-11
Cust0133,Female,Madhya Pradesh,North,47,Phone,Electronics,800.0,1,800.0,11.29,Returned,2023-10-28
Cust0179,Male,Tamil Nadu,North,45,Keyboard,Accessories,50.0,2,100.0,19.04,Delivered,2023-03-16
Cust0022,Female,Rajasthan,North,33,Watch,Wearables,200.0,2,400.0,10.07,Delivered,2023-11-21
