Customer ID,Gender,State,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0268,Male,Uttar Pradesh,North,,Monitor,Electronics,300,5,1500,13.31,Returned,08-12-2023
CUST0046,Male,Maharashtra,West,22,Earbuds,Accessories,100,2,200,6.93,In Transit,09-04-2023
CUST0169,Female,Bihar,South,54,Monitor,Electronics,300,1,300,11.31,Returned,28-08-2023
CUST0002,Male,West Bengal,North,23,Earbuds,Accessories,100,5,500,12.22,Delivered,18-01-2023
CUST0173,Female,Madhya Pradesh,South,,Laptop,Electronics,1500,3,4500,5.4,Delivered,19-01-2023
CUST0147,Male,Tamil Nadu,North,64,Watch,Wearables,200,2,400,11.26,In Transit,11-01-2023
CUST0262,Male,Rajasthan,East,27,Watch,Wearables,200,1,200,18.38,In Transit,23-10-2023
CUST0159,Female,Karnataka,South,18,Keyboard,Accessories,50,2,100,15.08,Returned,15-06-2023
CUST0046,Female,Gujarat,East,22,Mouse,Accessories,30,1,30,8.22,Returned,25-02-2023
CUST0023,Male,Andhra Pradesh,West,29,Earbuds,Accessories,100,3,300,10.7,Delivered,23-04-2023
CUST0201,Female,Odisha,East,49,Earbuds,Accessories,100,2,200,9.8,Returned,01-06-2023
CUST0283,Female,Telangana,West,67,Mouse,Accessories,30,3,90,5.65,In Transit,13-09-2023
CUST0199,Female,Kerala,West,41,Keyboard,Accessories,50,5,250,7.13,Delivered,17-02-2023
CUST0039,Male,Jharkhand,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,10-12-2023
CUST0276,Male,Assam,West,66,Mouse,Accessories,30,1,30,11.36,In Transit,29-06-2023
CUST0143,Female,Punjab,,36,Watch,Wearables,200,3,600,7.89,Delivered,14-07-2023
CUST0139,Male,Chhattisgarh,North,57,Laptop,Electronics,1500,4,6000,10.92,In Transit,13-05-2023
CUST0210,Male,Haryana,South,30,Phone,Electronics,800,2,1600,11.44,Returned,09-06-2023
CUST0293,Female,Delhi,East,32,Watch,Wearables,200,5,1000,7.16,In Transit,21-06-2023
CUST0049,Female,Jammu & Kashmir,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,26-11-2023
CUST0283,Female,Uttarakhand,East,67,Phone,Electronics,800,5,4000,12.17,Delivered,08-11-2023
CUST0196,Female,Himachal Pradesh,South,37,Mouse,Accessories,30,3,90,19.41,Returned,27-12-2023
CUST0050,Male,Tripura,North,,Mouse,Accessories,30,3,90,6.97,Returned,06-06-2023
CUST0007,Female,Meghalaya,East,52,Earbuds,Accessories,100,2,200,12,In Transit,28-10-2023
CUST0242,Male,Manipur,North,58,Phone,Electronics,800,4,3200,18.11,,30-12-2023
CUST0042,Female,Nagaland,South,57,Keyboard,Accessories,50,1,50,9.6,Delivered,04-12-2023
CUST0264,Male,Goa,East,59,Phone,Electronics,1658.432327,2,1600,11.59,In Transit,01-02-2023
CUST0053,Female,Arunachal Pradesh,North,25,Watch,Wearables,200,1,200,14.9,Delivered,14-08-2023
CUST0154,Female,Mizoram,East,31,Phone,Electronics,800,1,800,19.22,In Transit,07-12-2023
CUST0190,Male,Sikkim,North,28,Keyboard,Accessories,50,4,200,15.31,Delivered,28-06-2023
